ID,Lemma,Complement,BirthYear,DeathYear,URL,UncertaintyBirth,UncertaintyDeath
43253,Deiss,Joseph,1946 -,,http://hls-dhs-dss.ch/de/articles/043253/2022-03-02/,,
33679,Leuenberger,Moritz,1946 -,,http://hls-dhs-dss.ch/de/articles/033679/2022-07-26/,,
58058,Schawalder-Linder,Vreni,1946 -,,http://hls-dhs-dss.ch/de/articles/058058/2019-06-12/,,
58060,Schneider-Kenel,Elsbeth,1946 -,,http://hls-dhs-dss.ch/de/articles/058060/2019-06-12/,,
49592,Roussopoulos,Carole,1945 - 2009,,http://hls-dhs-dss.ch/de/articles/049592/2010-01-18/,,
46721,Kienast,Dieter,1945 - 1998,,http://hls-dhs-dss.ch/de/articles/046721/2015-02-23/,,
33612,Vannay-Bressoud,Françoise,1945 - 1998,,http://hls-dhs-dss.ch/de/articles/033612/2014-01-15/,,
45089,Zehnder,Bruno P.,1945 - 1997,,http://hls-dhs-dss.ch/de/articles/045089/2015-01-25/,,
33773,Etique,Pierre,1945 - 1993,,http://hls-dhs-dss.ch/de/articles/033773/2002-03-05/,,
45831,Lotmar,Lorenz,1945 - 1980,,http://hls-dhs-dss.ch/de/articles/045831/2008-07-10/,,
45202,Calmy-Rey,Micheline,1945 -,,http://hls-dhs-dss.ch/de/articles/045202/2023-01-12/,,
21122,Liechtenstein,Hans-Adam II. von,1945 -,,http://hls-dhs-dss.ch/de/articles/021122/2008-01-21/,,
58056,Mascarin,Ruth,1945 -,,http://hls-dhs-dss.ch/de/articles/058056/2020-09-08/,,
32567,Ritschard,Rolf,1944 - 2007,,http://hls-dhs-dss.ch/de/articles/032567/2010-01-12/,,
43387,Cornaz,Stefan,1944 - 2003,,http://hls-dhs-dss.ch/de/articles/043387/2015-11-18/,,
48302,Kölz,Alfred,1944 - 2003,,http://hls-dhs-dss.ch/de/articles/048302/2007-08-23/,,
48301,Wirz,Albert,1944 - 2003,,http://hls-dhs-dss.ch/de/articles/048301/2013-11-12/,,
47959,Vogler,Werner,1944 - 2002,,http://hls-dhs-dss.ch/de/articles/047959/2011-12-08/,,
46579,Wenger,Rico E.,1944 - 2002,,http://hls-dhs-dss.ch/de/articles/046579/2013-10-02/,,
46059,Musy,Gilbert,1944 - 1999,,http://hls-dhs-dss.ch/de/articles/046059/2010-10-28/,,
44535,Codiroli,Pierre,1944 - 1996,,http://hls-dhs-dss.ch/de/articles/044535/2004-01-20/,,
9484,Haldas,Béatrice,1944 - 1987,,http://hls-dhs-dss.ch/de/articles/009484/2006-08-31/,,
12429,Zorn,Fritz,1944 - 1976,,http://hls-dhs-dss.ch/de/articles/012429/2012-09-26/,,
58057,Mürner-Gilli,Brigitte,1944 -,,http://hls-dhs-dss.ch/de/articles/058057/2019-06-12/,,
