"graph","sub","identifier","name"
,"https://ld.admin.ch/district/305","305","Willisau"
,"https://ld.admin.ch/district/304","304","Sursee"
,"https://ld.admin.ch/district/303","303","Luzern"
,"https://ld.admin.ch/district/302","302","Hochdorf"
,"https://ld.admin.ch/district/2309","2309","Raron"
,"https://ld.admin.ch/district/2106","2106","Mendrisio"
,"https://ld.admin.ch/district/2302","2302","Conthey"
,"https://ld.admin.ch/district/1106","1106","Wasseramt"
,"https://ld.admin.ch/district/2013","2013","Kreuzlingen"
,"https://ld.admin.ch/district/2313","2313","Visp"
,"https://ld.admin.ch/district/1105","1105","Gösgen"
,"https://ld.admin.ch/district/2310","2310","Saint-Maurice"
,"https://ld.admin.ch/district/1851","1851","Viamala"
,"https://ld.admin.ch/district/1303","1303","Liestal"
,"https://ld.admin.ch/district/1005","1005","See / Lac"
,"https://ld.admin.ch/district/2223","2223","Gros-de-Vaud"
,"https://ld.admin.ch/district/1842","1842","Bernina"
,"https://ld.admin.ch/district/1910","1910","Zofingen"
,"https://ld.admin.ch/district/2015","2015","Weinfelden"
,"https://ld.admin.ch/district/1901","1901","Aarau"
,"https://ld.admin.ch/district/2307","2307","Martigny"
,"https://ld.admin.ch/district/2224","2224","Jura-Nord vaudois"
,"https://ld.admin.ch/district/1844","1844","Imboden"
,"https://ld.admin.ch/district/2226","2226","Lavaux-Oron"
,"https://ld.admin.ch/district/2312","2312","Sion"
,"https://ld.admin.ch/district/1908","1908","Muri"
,"https://ld.admin.ch/district/1003","1003","La Gruyère"
,"https://ld.admin.ch/district/1107","1107","Lebern"
,"https://ld.admin.ch/district/1406","1406","Unterklettgau"
,"https://ld.admin.ch/district/2011","2011","Arbon"
,"https://ld.admin.ch/district/2603","2603","Porrentruy"
,"https://ld.admin.ch/district/600","600","Kt. Obwalden"
,"https://ld.admin.ch/district/1909","1909","Rheinfelden"
,"https://ld.admin.ch/district/2221","2221","Aigle"
,"https://ld.admin.ch/district/1110","1110","Thierstein"
,"https://ld.admin.ch/district/2601","2601","Delémont"
,"https://ld.admin.ch/district/2227","2227","Morges"
,"https://ld.admin.ch/district/1002","1002","La Glâne"
,"https://ld.admin.ch/district/1906","1906","Laufenburg"
,"https://ld.admin.ch/district/1006","1006","Sense"
,"https://ld.admin.ch/district/1905","1905","Kulm"
,"https://ld.admin.ch/district/1007","1007","La Veveyse"
,"https://ld.admin.ch/district/1102","1102","Thal"
,"https://ld.admin.ch/district/1850","1850","Surselva"
,"https://ld.admin.ch/district/1004","1004","La Sarine"
,"https://ld.admin.ch/district/1302","1302","Laufen"
,"https://ld.admin.ch/district/2304","2304","Goms"
,"https://ld.admin.ch/district/2305","2305","Hérens"
,"https://ld.admin.ch/district/1843","1843","Engiadina B./Val Müstair"
,"https://ld.admin.ch/district/1846","1846","Maloja"
,"https://ld.admin.ch/district/2308","2308","Monthey"
,"https://ld.admin.ch/district/1847","1847","Moesa"
,"https://ld.admin.ch/district/2400","2400","Cant. de Neuchâtel"
,"https://ld.admin.ch/district/1502","1502","Mittelland"
,"https://ld.admin.ch/district/2602","2602","Les Franches-Montagnes"
,"https://ld.admin.ch/district/1109","1109","Solothurn"
,"https://ld.admin.ch/district/1304","1304","Sissach"
,"https://ld.admin.ch/district/2303","2303","Entremont"
,"https://ld.admin.ch/district/1501","1501","Hinterland"
,"https://ld.admin.ch/district/2301","2301","Brig"
,"https://ld.admin.ch/district/1104","1104","Dorneck"
,"https://ld.admin.ch/district/1903","1903","Bremgarten"
,"https://ld.admin.ch/district/1900","1900","Bezirksfreies Gebiet AG"
,"https://ld.admin.ch/district/1911","1911","Zurzach"
,"https://ld.admin.ch/district/2002","2002","Bischofszell"
,"https://ld.admin.ch/district/1108","1108","Olten"
,"https://ld.admin.ch/district/2007","2007","Steckborn"
,"https://ld.admin.ch/district/2103","2103","Leventina"
,"https://ld.admin.ch/district/2006","2006","Münchwilen"
,"https://ld.admin.ch/district/1403","1403","Schaffhausen"
,"https://ld.admin.ch/district/2306","2306","Leuk"
,"https://ld.admin.ch/district/1402","1402","Reiat"
,"https://ld.admin.ch/district/1841","1841","Albula"
,"https://ld.admin.ch/district/1405","1405","Stein"
,"https://ld.admin.ch/district/1200","1200","Kt. Basel-Stadt"
,"https://ld.admin.ch/district/1103","1103","Bucheggberg"
,"https://ld.admin.ch/district/2311","2311","Sierre"
,"https://ld.admin.ch/district/2107","2107","Riviera"
,"https://ld.admin.ch/district/2001","2001","Arbon"
,"https://ld.admin.ch/district/1848","1848","Plessur"
,"https://ld.admin.ch/district/1812","1812","Plessur"
,"https://ld.admin.ch/district/1825","1825","Inn"
,"https://ld.admin.ch/district/1804","1804","Heinzenberg"
,"https://ld.admin.ch/district/1811","1811","Oberlandquart"
,"https://ld.admin.ch/district/1824","1824","Imboden"
,"https://ld.admin.ch/district/1809","1809","Moësa"
,"https://ld.admin.ch/district/1803","1803","Glenner"
,"https://ld.admin.ch/district/1831","1831","Surselva"
,"https://ld.admin.ch/district/1829","1829","Plessur"
,"https://ld.admin.ch/district/1810","1810","Val Müstair"
,"https://ld.admin.ch/district/1823","1823","Hinterrhein"
,"https://ld.admin.ch/district/1808","1808","Maloja / Maloggia"
,"https://ld.admin.ch/district/1830","1830","Prättigau-Davos"
,"https://ld.admin.ch/district/1802","1802","Bernina"
,"https://ld.admin.ch/district/1828","1828","Moesa"
,"https://ld.admin.ch/district/1822","1822","Bernina"
,"https://ld.admin.ch/district/1807","1807","Inn"
,"https://ld.admin.ch/district/1801","1801","Albula"
,"https://ld.admin.ch/district/1814","1814","Vorderrhein"
,"https://ld.admin.ch/district/1827","1827","Maloja / Maloggia"
,"https://ld.admin.ch/district/1821","1821","Albula"
,"https://ld.admin.ch/district/1806","1806","Imboden"
,"https://ld.admin.ch/district/1813","1813","Unterlandquart"
,"https://ld.admin.ch/district/1826","1826","Landquart"
,"https://ld.admin.ch/district/1805","1805","Hinterrhein"
,"https://ld.admin.ch/district/2225","2225","Lausanne"
